Name	Corona Temp. (K)	Wind Speed (km/s)
HD 24040 c	1118684.0	954.0
HD 37605 b	1206803.0	777.0
HD 37605 c	1206803.0	1056.0
HD 45350 b	967220.0	993.0
HD 220689 b	1412703.0	1047.0
PZ Tel b	12508528.0	1223.0
HD 3167 b	949412.0	216.0
HD 3167 c	949412.0	718.0
HD 3167 d	949412.0	586.0
HD 3167 e	949412.0	820.0
TOI-500 b	1245580.0	215.0
HD 13931 b	1002779.0	1085.0
gam Lib b	2206811.0	955.0
gam Lib c	2206811.0	1011.0
GU Psc b	15999004.0	1522.0
HD 20868 b	1182984.0	921.0
HD 156846 b	2328919.0	938.0
HD 181234 b	1119842.0	1117.0
HD 204313 b	1739205.0	1041.0
HD 204313 c	1739205.0	742.0
HD 204313 e	1739205.0	1117.0
HD 213885 b	1619603.0	216.0
HD 213885 c	1619603.0	530.0
HD 209458 b	1913128.0	490.0
HD 153950 b	1541682.0	952.0
TOI-2096 b	1172531.0	283.0
TOI-2096 c	1172531.0	452.0
HD 108341 b	1296470.0	997.0
HD 79498 b	2040421.0	1035.0
HD 107148 b	1262143.0	774.0
HD 107148 c	1259595.0	684.0
HD 100777 b	1237240.0	932.0
HD 167042 b	2473765.0	947.0
WASP-80 b	942411.0	411.0
WASP-69 b	1056275.0	481.0
kap And b	38472790.0	1278.0
AB Pic b	33454210.0	1389.0
HD 27631 b	1520035.0	1043.0
HD 73267 b	944686.0	1007.0
HD 73267 c	944686.0	1162.0
HIP 14810 b	1199331.0	569.0
HIP 14810 c	1199331.0	860.0
HIP 14810 d	1199331.0	994.0
HD 220773 b	1493496.0	1081.0
HD 222155 b	1000736.0	1085.0
HD 188015 b	1124105.0	946.0
HD 196050 b	1547103.0	1024.0
HD 564 b	1234389.0	945.0
HD 11506 b	2298426.0	1029.0
HD 11506 c	2298426.0	895.0
HD 11506 d	2298426.0	1159.0
HD 133131 B b	841985.0	1101.0
HD 133131 A b	846267.0	964.0
HD 133131 A c	846267.0	1073.0
HIP 5158 b	1113274.0	914.0
HIP 5158 c	1113274.0	1120.0
HD 72659 b	1136616.0	1077.0
HD 72659 c	1051137.0	1170.0
TOI-1470 b	2930391.0	349.0
TOI-1470 c	2930391.0	641.0
HD 185269 b	1631843.0	587.0
HD 23596 b	1245258.0	1025.0
HD 74698 b	993270.0	662.0
HD 74698 c	993270.0	1073.0
HD 44219 b	983231.0	950.0
HD 164509 b	2284884.0	911.0
HD 62364 b	1618850.0	1101.0
HD 66428 b	1686818.0	1047.0
HD 66428 c	1686818.0	1137.0
HD 145377 b	3443552.0	837.0
HD 191939 b	875849.0	595.0
HD 191939 c	875849.0	716.0
HD 191939 d	875849.0	743.0
HD 191939 e	875849.0	825.0
HD 191939 f	875849.0	1042.0
HD 191939 g	875849.0	904.0
HD 183263 b	974854.0	965.0
HD 183263 c	1438384.0	1092.0
HD 210702 b	2530389.0	934.0
HD 212301 b	4321922.0	368.0
HD 167677 b	759573.0	1032.0
HD 190647 b	990870.0	1007.0
6 Lyn b	2338909.0	998.0
HD 4732 b	3254311.0	939.0
