Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HATS-5 b,0.4507321564489337,5.691804280507956e-05,0.0783545695724902,0.09447071074116908,1.3219348407159117e-05,1.4376135794216528e-05
TOI-1470 b,25.938246615619867,5.6822311534288735e-05,6.009310152168453,6.74989882940649,1.626060154616169e-05,3.6002950204475424e-05
HD 215497 c,0.1820943895704096,5.677424212108745e-05,0.16319193659294187,5.790788458674186,4.1266158338785755e-05,0.0001031998667284697
WASP-44 b,5.368336482599623,5.6232569257885194e-05,1.9606162540720682,3.2150654826318243,2.123849080814341e-05,3.6538053382694236e-05
HAT-P-43 b,0.9536686597412555,5.5938654089257474e-05,0.2743215897256367,0.39612410534899245,1.665142773106905e-05,2.4012333202397348e-05
TOI-132 b,28.739630349763495,5.575503345101291e-05,4.72379077696468,5.772636839149975,1.9194918390395707e-05,3.1202138983521e-05
47 UMa d,0.1028215628675938,5.4276599224107095e-05,0.09920328308904619,13.18260676223999,4.450236852048556e-05,0.00012655404240628784
KOI-7913 b,53.04158095457174,5.304979790132295e-05,47.474600002902356,2804.626761341553,3.9297836185077966e-05,0.00010910967500666377
EPIC 220674823 b,152.763546702525,5.2492962612181085e-05,8.974084508145069,8.350181502116556,1.7386019827094244e-05,3.964867252516244e-05
WASP-186 b,34.09530789703027,5.221873005480832e-05,1.7757359610399774,1.6478768914633974,8.196967695091804e-06,9.574553559840598e-06
HD 95735 c,0.9127544473625864,5.217213983152978e-05,0.8915857621703827,150.16434512190622,4.361861334115033e-05,0.000159946949579064
WASP-147 b,0.29185647374762236,5.1775338071854214e-05,0.07493026654768689,0.18343701595706263,1.679149258692929e-05,2.1236054628730912e-05
HD 224693 b,1.4746783754018773,5.177386414349959e-05,1.2881969957160377,34.87686068662089,3.585440749649773e-05,6.825263245164181e-05
HD 28185 b,0.5497149380925311,5.138610880559887e-05,0.5170553586709055,41.81060231202334,4.019835374676363e-05,8.94943421312348e-05
TOI-238 b,42.86751771250525,5.1322744871794976e-05,11.059379256201776,13.688296742864502,2.124825045559524e-05,5.454003372948351e-05
HD 18143 b,7.570263090598786,5.130280868698951e-05,4.905575768033319,7.933613291426209,2.604390447925308e-05,5.6838803977609266e-05
TOI-4010 b,20.272549423009174,5.1158806567735304e-05,4.428968872709042,12.72098380348541,1.6995750680364396e-05,3.733741508854124e-05
WASP-192 b,27.159578309468074,5.115199559643174e-05,6.698101820703297,4.539039753495626,1.5129882692688707e-05,2.5513896504832526e-05
HAT-P-18 b,0.1659921951473023,5.115100628737712e-05,0.04147342147640658,0.055716693095605646,1.2001012690320965e-05,1.3030879084797275e-05
Kepler-94 b,7.790140690930953,5.0435771106879955e-05,2.5577599384200935,3.5716530895663405,1.3426513513074561e-05,1.8682039144991632e-05
tau Cet h,16.980946388676767,5.0422481572864566e-05,16.70255720355304,2532.646947523052,4.1798711030017445e-05,0.0001684915352960606
HD 96700 b,9.689873051265453,4.964176965048839e-05,5.49862755080663,8.632860975774536,2.3329897810784664e-05,4.759331423755272e-05
TOI-3785 b,0.8769080961695385,4.8837308860348965e-05,0.3803468538328388,0.611258588192574,1.782684738617802e-05,2.938858805338387e-05
Kepler-21 b,70.4765974367431,4.8791992597604006e-05,7.673705462926904,6.446061084055458,5.265089674279366e-06,6.109280158051982e-06
WASP-89 b,56.47940089081248,4.877135426870853e-05,1.791019542717173,1.7601630654518488,1.4131422213683995e-05,2.4342144047567804e-05
