Names,x,y_mag,y_kin,y_both,d,s,l_mag,l_kin,l_both,y_err_min,y_err_max,x_err_min,x_err_max,Color
HD 47186 b,4.218393254110962,0.0008288331442203511,0.00013778809891093642,0.0004894452361848242,4.102389253410631,-1.3010299956639813,,,,0.0002897849255756117,0.000604537564707102,2.7525841095344017,10.825245351375058,black
K2-30 b,2.054663796911789,4.930040752297991e-05,2.2816527280597914e-05,3.67018608878321e-05,0.4613977673107397,-1.3039568616932995,,,,1.1538512080526424e-05,1.9367724080874062e-05,0.5280916538287399,0.7588662727509816,black
NGTS-15 b,3.1665121195941284,1.953558271031414e-05,3.4460022726046633e-06,1.2048976642340443e-05,0.19538177488534855,-1.43161855184848,,,,6.227410759506398e-06,1.3431432295302125e-05,1.3667319660096289,2.7342680513847224,black
HATS-54 b,5.910500838576103,4.8466826897334615e-05,1.2513644546132635e-06,2.4828692568765124e-05,0.20527373006499375,-1.431887873762251,,,,6.8165001741415865e-06,1.0242546078859972e-05,1.3222036661409806,1.5348021774860703,black
WASP-46 b,37.53812675484783,0.0002443788993628885,5.265432186753476e-06,0.0001246406517761492,0.4094344281279565,-1.6142770470279169,,,,4.321283198619269e-05,8.689320022084484e-05,8.155807912989683,2.3785176033028463,black
HD 190360 c,3.6224459114038394,2.3810494818298265e-05,0.00025929204767592554,0.00014446082167281828,9.59991223914083,-0.8652544617163151,,,,0.00011109745107580325,0.0002628192350644168,3.3738174259027565,214.09286397850855,black
18 Del b,0.6887668542497021,0.010360362703992992,1.1557829438034465e-05,0.005189464397723195,2.016016835306124,0.392834250730832,,,,0.004037000535451797,0.009203141152601822,0.6422031900934219,46.86706167451113,black
WASP-130 b,17.18367124974861,6.776767526096012e-07,3.8483472393003435e-05,1.959418492270324e-05,0.8920724690037117,-0.9933777007970603,,,,9.138267348011557e-06,2.46847204735826e-05,16.021245649935185,49.48417032905638,black
WASP-56 b,1.8917796236590774,1.7990174703864804e-05,1.1707584160651775e-05,1.5470421966985007e-05,0.47858141551962524,-1.2548629713529587,,,,6.867475472097623e-06,1.1743020224514445e-05,0.9552279743488636,1.9716090043307508,black
WASP-165 b,0.9703750180740328,0.00027542627096399853,4.781089604596285e-06,0.00014021627001116623,0.2551571729699044,-1.3171849060524152,,,,6.591148504103604e-05,9.540518131225862e-05,0.4721635697422119,1.3819841855470631,black
WASP-57 b,3.0904206374361616,0.0001613040013529798,1.7772153368998686e-05,9.094366069939511e-05,0.38582499377492835,-1.4217084345424456,,,,3.2402001486033484e-05,5.697806958000995e-05,0.9484528094100666,1.3833865445314046,black
WASP-65 b,25.606971667634145,0.0002101926896394585,8.672883599162204e-06,0.00010944178042682416,0.5614291228839413,-1.4813031864530084,,,,3.4682866614529085e-05,5.2745278734528335e-05,8.304619743336097,5.918104165353164,black
70 Vir b,1.0100968732377247,8.291886025114027e-05,0.000787572151447558,0.00044626057497625896,8.584100151426636,-0.26881301577229416,,,,0.0003350325976397664,0.0007958270886793895,0.9492613096632847,65.80688558193053,black
HD 134606 c,3.867623811808418,1.629865283937992e-07,3.108396659878435e-05,1.589162072769965e-05,5.735710081434492,-0.5092046144565123,,,,1.300644678192238e-05,3.873622397284055e-05,3.7215664862484217,416.9703396200514,black
HD 134606 f,7.493426345435326,1.2642926851105192e-07,1.8098743739780424e-05,9.246691328126408e-06,5.735710081434492,-0.7510563862128781,,,,7.595521120340531e-06,2.160476727473242e-05,7.2161168855958495,818.007060418508,black
HD 134606 e,27.233444646373837,6.072860754242977e-05,8.418706285739386e-06,3.5038259887299844e-05,5.735710081434492,-1.293753221749268,,,,1.742467320517758e-05,3.43528025537976e-05,11.988584876457082,15.709016352331705,black
HD 75302 b,0.4009667759284809,2.471775286852956e-06,8.354575543619837e-05,4.408172294842629e-05,5.066630899366389,0.7299067304258378,,,,3.551314509637668e-05,0.00011389481909375446,0.38495136897653015,33.37251699191837,black
HD 204313 b,0.4120570855736308,1.5238798772285014e-06,4.2386904760084775e-05,2.2706403347679837e-05,3.2151154467711427,0.4805899376239471,,,,1.8324283210078957e-05,5.583481589926802e-05,0.3934786763626124,38.54966581693696,black
HD 28254 b,0.2944407422922726,1.9908729110230647e-06,2.8507838021001903e-05,1.5376618344691093e-05,2.7793322870747454,0.39295424244500116,,,,1.2116357851054603e-05,3.0394504596480675e-05,0.2790864808938313,27.284894491711825,black
HD 190647 b,0.28865038382211083,9.380282251932457e-07,2.6325307349084462e-05,1.3777632461802013e-05,2.8208943606046093,0.3496524758495383,,,,1.0913762165458494e-05,2.8260081233690466e-05,0.27484242786949753,26.988227531466592,black
Kepler-1654 b,0.45062896748583026,7.22698370842385e-09,1.8865058999875093e-07,9.797577060640743e-08,0.27048096645709135,0.3021035494932182,,,,7.562597975722703e-08,1.754094072484757e-07,0.43001672478658026,39.872318733955154,black
HD 222582 b,0.43694045225754763,6.071347805326559e-07,4.883323589600721e-05,2.479526954008059e-05,3.6449226307492033,0.12489607058063278,,,,1.94196574653392e-05,5.040825188749385e-05,0.4155309461655438,39.04586080001153,black
HD 154857 b,0.49624378536541847,1.980092617075501e-05,4.021451066608253e-05,3.0354772405684614e-05,2.4218943204173384,0.10563956389749828,,,,2.361199533746082e-05,5.7970151011228095e-05,0.4683584770898453,34.70733879379381,black
HD 159868 c,0.30643300935090567,1.3881038111070165e-05,6.137079739348809e-05,4.095256165302183e-05,2.7513699160202068,-0.009484453193476081,,,,3.165690168529334e-05,7.111705440345816e-05,0.2832290662069248,16.312460464892755,black
HD 207832 b,0.7580402874485025,2.3548808372798993e-05,0.00033159592275910357,0.0001859675688594951,2.6076222990119207,-0.22392736281222256,,,,0.0001347532419450878,0.00034107053046042923,0.6522916900643876,21.287793055543403,black
61 Vir d,1.3401795082146732,2.9245321302324267e-06,0.0004949939884567183,0.00025006943739682526,18.071157526789932,-0.3210798953342181,,,,0.00020267651095475574,0.0005302269840171382,1.2729574962159158,122.96147071858823,black
HD 107148 b,1.0071406095250848,1.3199156440608801e-06,0.00014334761377371032,7.276666631813226e-05,3.109642202476614,-0.5712374691551372,,,,5.489183985889983e-05,0.0001048705626213012,0.8912829057894744,38.94290745123298,black
HD 72892 b,1.767732646594654,1.2834918655418737e-07,9.723641888045084e-05,4.9196099427145155e-05,2.2036772002837095,-0.640023937463465,,,,3.646840021881951e-05,8.613597676631315e-05,1.6300338500799727,72.38006913788402,black
HD 63433 c,28.07415076741336,0.00020595986711431476,0.0003093281561105996,0.00029531021236008635,6.858965573267719,-0.8122206719043856,,,,0.00022259314629110902,0.0004451566454672999,26.371770785741443,1735.4993184873317,black
HD 107148 c,3.8411721348507553,1.2507283296914373e-06,4.017830260230357e-05,2.092369764896501e-05,3.109642202476614,-0.8624549121087444,,,,1.6300695209156034e-05,3.740362891562487e-05,3.55992668640046,253.77681965886802,black
EPIC 220674823 c,9.00987786530936,5.610760653858506e-08,5.203406536617719e-07,2.9726843599468773e-07,0.628254774196424,-0.9597974395435311,,,,2.318221086995538e-07,5.57487697745109e-07,8.594350310215711,686.8434065693143,black
