Name	Corona Temp. (K)	Wind Speed (km/s)
HD 3167 e	948647.0	291.0
HD 3651 b	1793424.0	430.0
HD 39194 d	764975.0	222.0
K2-139 b	2640390.0	496.0
HD 3167 c	948647.0	244.0
TOI-262 b	4592231.0	713.0
TOI-125 d	1045394.0	244.0
HIP 97166 c	3478790.0	562.0
TOI-757 b	963938.0	225.0
HD 207897 b	1327133.0	284.0
HD 39194 c	764975.0	187.0
HD 130322 b	8127128.0	948.0
HIP 97166 b	3478790.0	529.0
TOI-220 b	797122.0	170.0
Kepler-75 b	1126122.0	215.0
TOI-125 c	1045394.0	205.0
HD 3167 d	948647.0	186.0
DMPP-3 A b	767906.0	139.0
HD 39194 b	764975.0	146.0
TOI-125 b	1045394.0	169.0
HD 102195 b	2072069.0	323.0
WASP-160 B b	826023.0	121.0
HD 83443 b	2045558.0	268.0
BD-10 3166 b	4279772.0	440.0
TrES-1 b	1639207.0	210.0
NGTS-25 b	1659283.0	225.0
CoRoT-29 b	1415510.0	186.0
XO-2 N b	981368.0	119.0
NGTS-8 b	707130.0	79.0
HD 3167 b	948647.0	115.0
TOI-332 b	1291529.0	118.0
HD 221416 b	1403748.0	269.0
HD 166724 b	1476840.0	539.0
HD 154088 b	950785.0	220.0
55 Cnc b	1218648.0	256.0
HD 4732 c	3254311.0	808.0
24 Sex c	2201495.0	584.0
6 Lyn b	2338909.0	615.0
HD 10442 b	808294.0	329.0
HD 5608 b	2881483.0	690.0
24 Sex b	2201495.0	555.0
HD 4732 b	3254311.0	701.0
HD 180902 b	2108544.0	549.0
HD 98219 b	1661472.0	467.0
HD 148427 b	2349298.0	555.0
kap CrB b	1820919.0	540.0
HD 184010 d	2109675.0	573.0
HD 184010 c	2109675.0	549.0
HD 184010 b	2109675.0	525.0
HD 81688 b	3083452.0	655.0
HD 112570 b	1292752.0	467.0
HD 219415 b	1038461.0	406.0
HIP 114933 b	1845611.0	549.0
HD 111591 b	3574937.0	780.0
gam Lib c	2206811.0	583.0
HD 33844 c	2893960.0	685.0
HIP 75092 b	1549794.0	480.0
HD 33142 c	2184532.0	578.0
HD 30856 b	1650638.0	499.0
HD 102329 b	3658841.0	722.0
HD 206610 b	2054566.0	548.0
HD 112640 b	3233400.0	710.0
HD 33844 b	2913994.0	660.0
HD 181342 b	2948303.0	671.0
HD 60292 b	2951862.0	667.0
gam Lib b	2206811.0	545.0
HD 17092 b	3239252.0	574.0
HD 33142 b	2184532.0	538.0
14 And b	1622297.0	414.0
91 Aqr b	1792610.0	451.0
omi CrB b	1049611.0	320.0
xi Aql b	1201982.0	326.0
HD 33142 d	2184532.0	473.0
HD 145934 b	3380533.0	800.0
BD+49 828 b	2416935.0	665.0
