Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
YZ Cet b,01:12:32,-16:59:46,23.97702109503915,0.0008389633568891524,10.493521488304212,24.255611415414805,0.0004191467091547921,0.0006377512780381786
HD 7924 b,01:21:59,+76:42:37,12.18591804691052,0.0008143966046324331,5.568596897604454,11.204719039212721,0.00044832605622767646,0.0010215318597831225
TOI-564 b,08:41:11,-16:02:11,29.25375506050598,0.0008124458957200159,24.123043892751447,26.58298578352538,0.000608825774260665,0.0026358800288260407
YZ Cet c,01:12:32,-16:59:46,25.580852604222432,0.0008074116728670757,11.144629986614058,20.793737344088466,0.0003871726109537129,0.0006166850202731634
CD Cet b,03:13:25,+04:46:31,24.132552233683917,0.0007957575755881898,10.456318389737957,20.243985748522967,0.0004323970983935022,0.0010893282102164338
K2-25 b,04:13:06,+15:14:52,25.630547911116395,0.0006969365511926814,7.500024806183529,8.470673277545174,0.0002724733240379595,0.0005082525522971125
TOI-2266 b,16:21:07,+31:34:37,29.98942486010288,0.0006788849551003395,8.993034973951055,11.22635973335612,0.0003532750666364476,0.0009151107544921293
LP 791-18 d,11:02:46,-16:24:23,16.67488707604251,0.0006647217439468545,8.298120851256169,11.609226922282744,0.0003073976564755907,0.000626586817284588
YZ Cet d,01:12:32,-16:59:46,20.579330163932326,0.0006354363300157878,8.856501491541245,17.365339096740094,0.00030849984806729055,0.000486976261820868
TOI-778 b,13:17:20,-15:16:25,18.446580615663507,0.0006318702678751799,3.862183122252084,2.774192654997446,0.00014949948895841167,0.00020755917052199503
TOI-500 b,07:06:14,-47:35:16,46.563434130217345,0.000617623609117691,10.299171297870295,12.553282888429877,0.0001319500286796854,0.00016464982710564905
TOI-1333 b,21:40:03,+48:24:24,10.346530257353844,0.0006130640024028292,2.9770652721262554,4.0979020060240945,0.00013390213690000027,0.00017022685058031635
HD 68988 b,08:18:22,+61:27:39,16.822719668066956,0.0005921191293971162,9.143185817284394,2.931579105491121,0.00023788031400529756,0.0005363810488140301
WASP-50 b,02:54:45,-10:53:53,17.60786426844489,0.0005570425354199807,4.20951961483042,5.65438351413934,0.00019924967539563154,0.0004256932886626209
Wolf 327 b,09:53:31,+35:34:14,97.37890033209818,0.0005458619139578731,26.16576068031415,31.572511306565488,0.00021689465116116072,0.0005632728566003968
HD 18599 b,02:57:03,-56:11:31,50.84550185513113,0.0005425805271817257,12.891172106324255,9.018210127925109,0.0002848058715477726,0.0007269693552831466
TOI-2076 b,14:29:34,+39:47:25,21.21835456573791,0.0005364281754638546,9.93962613162948,8.106252380761408,0.000287704273621244,0.0007094167388671908
TOI-540 b,05:05:14,-47:56:15,30.323303201558716,0.0005272399434016878,9.040518122193628,11.458267492244339,0.0002237931087398958,0.0007314495906647262
GJ 514 b,13:30:01,+10:22:21,11.91140161723255,0.0004991305291466388,11.478912316788245,1070.7818667314175,0.0004042375163817745,0.001178199778699634
TOI-3331 A b,18:05:18,-34:06:26,37.02248856966462,0.00047350198189065416,2.551644397542013,2.2124602114981755,0.00017067799308474155,0.0003917990129193011
