Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 117207 b,13:29:21,-35:34:17,0.32836710031938127,2.2488741378234183e-05,0.3127211797504689,25.685683205687393,1.806770064731659e-05,5.167758549119913e-05
HD 103891 b,11:57:45,-08:32:55,0.38247816176980376,2.2391923639063368e-05,0.36441427388849407,32.23694642737838,1.768364529336519e-05,4.340825163235467e-05
GJ 414 A c,11:11:06,+30:26:43,0.3721211490400469,2.2153448508681918e-05,0.3481995294636512,28.15032923177755,1.8729211555029906e-05,6.934419196533644e-05
TOI-4010 c,01:20:52,+66:04:20,0.5971662743462021,2.2066441388720267e-05,0.13986716912579789,0.18556267772181811,5.950249789421158e-06,7.8316742706929e-06
47 UMa d,10:59:28,+40:25:50,0.13521440234952237,2.1922523928161114e-05,0.1302404316836185,15.284642466986607,1.7734073047014455e-05,5.305383066746427e-05
HD 231701 b,19:32:04,+16:28:28,0.7920057046230038,2.147312458239792e-05,0.7123762617151496,33.22644199343135,1.5802812609539136e-05,3.3340649134064856e-05
NGTS-16 b,03:53:03,-30:48:17,0.6360264347390554,2.0892848265046884e-05,0.2661717071576056,0.6228796924000544,9.642746772126558e-06,1.7680330009071184e-05
HD 16175 b,02:37:02,+42:03:45,0.5698847455604064,1.978988279246525e-05,0.537260120196902,42.07084407816244,1.5419383239683196e-05,3.952988371589885e-05
HD 96063 b,11:04:44,-02:30:48,0.40462498853232515,1.951129252852038e-05,0.37419676330042245,27.17791508748111,1.583449000392175e-05,5.7791179377954415e-05
HD 142 c,00:06:20,-49:04:31,0.22609726150950674,1.9250613037144564e-05,0.21810614413374227,24.776968710437888,1.556998141534298e-05,4.261251647313404e-05
Kepler-426 b,19:17:44,+49:28:24,0.5224921575726285,1.9038744046223975e-05,0.1497664062798666,0.21656869227139508,5.101828938521104e-06,6.793998414471135e-06
HD 196067 b,20:41:45,-75:21:05,0.3332646554917903,1.811479302990313e-05,0.3201887064690224,33.85295367312618,1.4476338930809665e-05,4.141672639656393e-05
HD 28185 b,04:26:26,-10:33:04,0.6417625301371769,1.7894280153680357e-05,0.5992516759692355,46.19289854104283,1.3863209117787462e-05,3.2133471294402524e-05
BD-210397 c,02:13:13,-21:11:46,0.2720169655547804,1.7280794111646894e-05,0.26200419926766205,29.320831520266363,1.4156796608962232e-05,4.7627151046712095e-05
HD 222237 b,23:39:38,-72:43:31,0.16876609509213686,1.670778029277397e-05,0.16355563853966543,19.519162977092762,1.3453245126912842e-05,4.148667276058188e-05
HD 204313 b,21:28:12,-21:43:39,0.45903765806705876,1.4547273793534687e-05,0.4386260555204795,38.8642032065618,1.1739313123182917e-05,3.69431646032971e-05
HD 13908 c,02:18:15,+65:35:39,0.6362645782462407,1.4128624331937092e-05,0.6015363613571505,44.89676151921014,1.0878753021908432e-05,2.706908599390911e-05
HD 92788 c,10:42:49,-02:11:05,0.23171380008760475,1.3844349838839057e-05,0.22311552419424835,28.27491963471276,1.1238363228597678e-05,3.957520349318331e-05
CoRoT-16 b,18:34:06,-06:00:09,0.7568458337131672,1.3765352480987507e-05,0.35349265032016197,0.9428574873579225,6.588288682531123e-06,9.89117227191837e-06
HIP 14810 d,03:11:14,+21:05:50,0.1993868510400271,1.3708870275080599e-05,0.18069228033244172,8.814605630745321,1.0346613384150262e-05,2.498295820714418e-05
HD 147873 c,16:25:45,-33:34:02,0.5991822104907928,1.320714419097638e-05,0.5613186386343582,39.39633835107004,1.0658686268235655e-05,4.6933417396093714e-05
HD 30177 b,04:41:55,-58:01:15,0.47007511611736996,1.3136121494125644e-05,0.44654731630451416,41.55964726877086,1.0516998848353958e-05,3.3747635041981715e-05
HD 83443 c,09:37:12,-43:16:22,0.1749591598933385,1.3023473620306579e-05,0.1666011334511408,14.01713197754151,1.0549313910688904e-05,3.5603612962748814e-05
