Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 5891 b,01:00:33,+20:17:32,1.5027058815032066,0.0010155261167786,1.3675978007931755,84.55922884606639,0.0007984042081164,0.0036400572684944
kap CrB b,15:51:14,+35:39:21,0.4170496999430153,0.0009300586835858,0.3938399049154583,30.57933822020573,0.0007328337902045,0.002075141438589
DMPP-2 b,01:49:38,-34:27:33,0.9041265026539852,0.0009003600286597,0.3766226143469124,1.5112373224333704,0.0004393115333286,0.000434587030042
TOI-4463 A b,18:37:26,+18:43:48,2.237087266425054,0.0008821975552114,0.5759212584079421,0.8170639977959198,0.0003170088004641,0.0006065693080941
HD 10647 b,01:42:30,-53:44:29,0.4772044277018873,0.0008517500172693,0.4400483615957303,25.726302439370603,0.0006574096293689,0.001769507718307
HD 47536 b,06:37:48,-32:20:22,0.41405635496848,0.0008447037844067,0.3936288800147902,34.82987640527603,0.0006636684522863,0.0017710108561397
WASP-35 b,05:04:20,-06:13:47,0.8369880643724456,0.0008256123825247,0.2464154257281305,0.4199457332468032,0.0002533914744797,0.0003285563408072
WASP-75 b,22:49:33,-10:40:32,3.3497955470201477,0.0008049679917731,0.7450955868880871,0.968248986803883,0.0001728061763306,0.0002135673187539
TOI-815 b,10:23:29,-43:50:06,4.842562895190766,0.0008006012290255,1.8138713124938417,2.467465015295045,0.0004701230058337,0.0018088788432442
HD 47186 b,06:36:09,-27:37:24,4.242271588434003,0.0007993151369714,2.752313392116738,10.756699333697316,0.0004673104400151,0.0009350049017995
HD 184010 b,19:31:22,+26:37:02,0.5047206349142921,0.0007921701853032,0.4503106497264577,16.28632546728566,0.0006161111058752,0.0028239530107462
WASP-16 b,14:18:44,-20:16:32,4.760476374329328,0.0007878022937938,2.3888674725650376,4.388872866374403,0.0003531162237509,0.0006352237196533
TOI-954 b,04:07:46,-25:12:32,0.4914631564492164,0.0007814670099674,0.0975185647859744,0.2008581724679914,0.0001835319993632,0.000201744990757
HAT-P-45 b,18:17:30,-03:22:52,1.0672934096166045,0.0007464964601315,0.3575282570790737,0.7256006973633988,0.0002525733464607,0.0003237184283485
TRAPPIST-1 h,23:06:30,-05:02:36,3.886624636275446,0.0007379898862074,0.3814666073350841,0.4305627888457062,0.0003169250643896,0.0007244159647663
HD 154391 b,17:01:17,+60:38:56,0.3709305270652344,0.0007247556915387,0.3551947372082005,37.26226957593263,0.000573801638228,0.0014716774412619
WASP-26 b,00:18:25,-15:16:03,2.6756144489379343,0.0007222980173725,1.5451434852259167,4.151911939585411,0.0003338238495924,0.0005334183305437
WASP-11 b,03:09:29,+30:40:24,2.9396492589612784,0.0007007514283559,1.502607234178,2.984708332701162,0.0003472804116531,0.0007578748743133
