Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 33564 b,0.8444685577611849,0.00037703005217,0.7918181384831365,51.47741094936473,0.0002867285937308,0.0006627350773269
HD 32518 b,0.8164179828048129,0.0003700404245893,0.7564832227013658,54.99837612396741,0.0003002754258586,0.0013847718805549
HD 93083 b,0.6818760937618324,0.0003587237650517,0.6129121387549736,26.330167323169555,0.0002717417490675,0.0007611096919163
HD 33844 c,0.511031609865212,0.0003499879084655,0.475661021861904,36.4536432146046,0.0002773131279136,0.0008716908604931
HD 216770 b,0.7761357831528412,0.0003229921334774,0.6845542155142973,30.56169385827268,0.0002350063169409,0.0004613397683277
HD 45652 b,0.6953950015412877,0.0003099568796065,0.6017620281391792,24.95799055288133,0.0002243856945779,0.0004614282069288
HD 200964 c,0.3807549473721471,0.0002994460977129,0.3547368331113837,25.815182293502,0.00023778310469,0.0007268680515988
HD 27442 b,0.3411769973591595,0.000298591680934,0.3204425511074425,25.477514354799965,0.0002314981299431,0.0005774182565147
HATS-26 b,0.5815736641897274,0.0002928419067482,0.1417606119973074,0.2677606988796296,9.934793791269684e-05,0.0001205411044465
HD 175541 b,0.6733866750794979,0.0002878221817023,0.6137662716374549,25.2212477685352,0.0002300370819902,0.0010743956172204
WASP-126 b,0.7461681140761345,0.0002829075843063,0.2827782655905176,0.4891390178728945,0.0001358683951247,0.0002435146041019
47 UMa b,0.3515670641226964,0.000263406660127,0.3336949431468821,28.88778237590588,0.0002058821031008,0.0005258322921428
ups And d,0.4152707267463927,0.0002630289399718,0.3967631272193506,34.39413268170026,0.0002059988084377,0.0005748693403291
HD 113538 c,0.2657853001716477,0.0002486094022948,0.2489730176462304,18.01960043871581,0.0001977905486573,0.000510711554877
HD 95127 b,0.6190076337314516,0.000244160859815,0.5848659544222276,45.28398040878184,0.0002220961660576,0.0026844501672358
BD-06 1339 c,0.9235167382767738,0.000241631667887,0.8429873597839548,36.09471707148099,0.0001819318727689,0.0004934351132021
HD 114783 b,0.4230312880614773,0.0002232483499285,0.3949770475038111,30.235602246948105,0.0001758187518262,0.0004793683618982
47 UMa c,0.1206435655341947,0.0002211809175325,0.1122885313486043,8.650168417583144,0.0001711506160761,0.0003931814166545
WASP-166 b,0.6477025183443412,0.0001956909778464,0.1517213693795072,0.2306140766588024,4.358227161184992e-05,4.738911885571298e-05
HD 112570 b,0.2516629372692516,0.0001803959660603,0.2398937596232329,23.58558917708849,0.0001461040203274,0.000510285730135
55 Cnc f,0.4723479092387512,0.000179791171953,0.4418298008439391,34.68525783313956,0.000141557598566,0.0003432108590084
HD 92788 b,0.9870610413886142,0.0001793089724275,0.9247748811109636,53.99656314538056,0.0001391641910104,0.000394064857518
HD 3765 b,0.3331743921505148,0.0001769385385403,0.3041498767123811,20.36126672006021,0.0001370700022804,0.0002990542197174
