Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HAT-P-19 b,0.352816612144856,8.675518487986198e-05,0.0486658652156197,0.0559302759903737,2.1807566915810615e-05,2.566977572586576e-05
Kepler-45 b,6.409392344210602,8.621940991578329e-05,2.333021297650544,3.7178857254224553,4.6438436520148206e-05,0.0001177824565365
HD 169830 c,0.4478229250640144,8.566792599695787e-05,0.4234876112399178,38.91993599406761,6.729779301196653e-05,0.000163761778548
HD 73583 c,39.4604064748112,8.529735588281082e-05,37.30709636343536,3264.814632574832,6.759715897594457e-05,0.000172011275956
HAT-P-25 b,2.632286438783136,8.280720086057091e-05,0.3612457692626996,0.424991504072389,2.6707322956778704e-05,4.740262510568598e-05
HD 67087 b,1.1223495578011486,8.239472372978721e-05,1.043708071148912,66.34851337774404,6.401054537560167e-05,0.0001637005202339
WASP-99 b,27.207866731432883,8.184880321080273e-05,2.09041595603372,1.8971511450086744,2.6797598782161083e-05,3.3835729837021416e-05
HAT-P-26 b,0.3944493995200889,8.158225248137846e-05,0.1414944845597727,0.2648327322665542,3.144792538091354e-05,4.822438834794953e-05
HD 75784 b,0.5177298026826458,8.100581447600375e-05,0.4787975859044829,30.55022636874923,6.294647671396575e-05,0.0001757510766827
HIP 14810 c,0.7091511915819534,8.029289738017047e-05,0.6460357496842584,47.105410670007394,6.121083799246377e-05,0.0001387672648484
HD 69830 d,1.6541266495023237,7.891722336516805e-05,1.5856832847040463,130.3476351315894,6.33329405794838e-05,0.0001944793937855
tau Cet g,24.39189719664711,7.845650169384801e-05,23.905414791065468,3854.400422028267,6.492203828055016e-05,0.0002470723727339
WASP-57 b,5.323178159389223,7.772291273196942e-05,1.0112428076303566,1.2192014496706012,2.7212725739155088e-05,4.876502764967735e-05
HAT-P-28 b,2.463309190523648,7.760808442424101e-05,0.5936427453792916,0.7935685288982723,2.709918884788421e-05,4.340745887248053e-05
HD 1461 b,22.03200848604057,7.658819551009758e-05,13.6040513337199,4.86348130965651,3.3788297719373544e-05,8.023727120987518e-05
GJ 163 d,0.7174529846512733,7.654974590152443e-05,0.6754605193657306,57.38030579879373,6.119694931771549e-05,0.0001807100917459
HAT-P-11 b,12.872639692921002,7.634491874017422e-05,2.677557750429443,3.341141154562507,2.791174662518932e-05,6.738265046089774e-05
HD 98219 b,0.5832321909572783,7.591467084157389e-05,0.5463465316621545,43.21800193375323,6.05556897558331e-05,0.000205480179178
WASP-28 b,4.603819422568242,7.586858468613635e-05,0.5139605828321114,0.5465644805665546,2.2275372088487672e-05,3.921022418121332e-05
WASP-21 b,0.2899273929399982,7.4971379145585e-05,0.0772249917079401,0.1148842669479385,2.09464954043304e-05,2.5928325560910045e-05
WASP-117 b,0.2549055593526894,7.495307905097297e-05,0.0753923983182645,0.1535733727750619,2.256404736662822e-05,2.492418153838377e-05
WASP-132 b,3.1085488465787856,7.480111468597822e-05,1.5316068807595526,0.6442718521193984,1.3960568443976643e-05,2.207867850127559e-05
HD 89307 b,0.3862396389075214,7.431055069211486e-05,0.3653012553293436,30.327401524998184,5.836871968126627e-05,0.0001397139440088
HD 1502 b,0.750811201308922,7.40068833124596e-05,0.6978709498274402,52.42832773969873,5.936018817368678e-05,0.0001745084088306
HD 140901 c,0.1595500532841063,7.30143608497207e-05,0.1537049285256692,17.80287877796271,6.068091857433037e-05,0.0002042975829212
HD 16417 b,3.609600252798821,7.269627272786645e-05,3.349801205047682,243.07757139434943,5.6564993439987374e-05,0.0001264994112136
WASP-10 b,45.243975077864825,7.216541629871509e-05,1.500368820901322,1.4279694044779276,3.2584980138925864e-05,7.671151353880595e-05
HD 177565 b,3.6873369756162577,7.2108320232391e-05,3.516059146266105,236.9149423753664,5.68753542990789e-05,0.0001686421799381
TOI-620 b,8.118016111458862,7.172855144958646e-05,3.3747395891386995,5.095754681466184,2.758288903984141e-05,6.136348398775724e-05
HAT-P-17 b,2.3297986519502705,7.130290200587986e-05,0.3880482410279964,0.457948751272589,2.193942376052457e-05,3.7556996235365366e-05
TOI-181 b,1.7388203592605385,7.01135354392105e-05,0.4333637328519519,0.4720504127983169,2.7275203778697545e-05,6.327770078258345e-05
HAT-P-54 b,10.036244002347717,6.967024112340656e-05,1.0689746762119032,1.2091350889287629,2.3840826802697537e-05,6.128684189346141e-05
HD 196885 A b,0.4473032671563344,6.961263991309073e-05,0.4219065446642507,35.43768535590071,5.455289354877448e-05,0.0001348437411757
WASP-83 b,0.3837903832244829,6.941270677511133e-05,0.0883552638093962,0.1680013407765123,1.670038930678951e-05,1.883720556648454e-05
HD 20782 b,0.4671193028640273,6.903703003502505e-05,0.4386656523969212,31.389001158327314,5.3570452425928464e-05,0.0001252471792976
HD 218566 b,0.4465006215352224,6.897097681662792e-05,0.4122523191980775,19.384715763843467,5.196649070593183e-05,0.0001211752279333
WASP-157 b,4.340767564998482,6.83502176136759e-05,1.0121533763787882,1.1166597568455323,1.922434385939188e-05,2.538643958750224e-05
DMPP-1 d,45.04234576818348,6.779133845544618e-05,11.21993895202894,5.277266491662736,2.5285403397114296e-05,4.30487692002426e-05
HD 181433 d,0.1285727212059235,6.775315544651087e-05,0.1185036011039403,8.917935145863764,5.226068682759921e-05,0.0001217113957608
Qatar-3 b,49.38395213906927,6.67453327886687e-05,8.895848606881096,9.255485185014976,2.3733771532042465e-05,3.482400026689416e-05
tau Cet e,7.524281006456388,6.66874572213912e-05,7.403982775904939,1287.8162303929398,5.565819030627187e-05,0.0002250279246114
K2-229 b,152.51251129486167,6.614035731688955e-05,19.17366518083301,17.03275373033,2.499100234867844e-05,7.67820361829695e-05
TOI-2196 b,65.00164625345322,6.586151363518599e-05,4.741678594401783,4.49155860966988,1.9640814683638383e-05,4.0220325781710966e-05
WASP-98 b,6.791739337313315,6.501250465410645e-05,0.9675082803611385,1.064998760387124,2.606918518531224e-05,6.522127688191164e-05
TOI-700 c,12.038434492250309,6.486817985720518e-05,5.110485907169574,3.109755288265257,2.0366967759308865e-05,3.749181985607105e-05
HD 125612 b,0.8480613402060454,6.399525808382829e-05,0.788237956940644,52.338081285317614,4.974336405930751e-05,0.0001456172089566
